station_id,station_name,latitude,longitude,elevation_m,obs_start,obs_end,n_valid_records,n_missing_records,total_records
0-203-0-10601075001,Horní Planá,48.7675,14.0342,771.0,1971-02-01 06:00:00+00:00,2017-12-18 06:00:00+00:00,2213,14923,17136
0-203-0-10601089001,Květušín  Boletice,48.7833,14.1308,810.0,1975-12-08 06:00:00+00:00,1997-02-03 06:00:00+00:00,791,5514,6305
0-203-0-10601115201,Lipno,48.6336,14.2383,730.0,1980-01-07 06:00:00+00:00,2025-12-22 06:00:00+00:00,2106,14362,16468
0-203-0-10601144001,Rožmitál na Šumavě,48.697778,14.391111,627.0,1998-06-01 06:00:00+00:00,2025-12-22 06:00:00+00:00,635,4358,4993
0-203-0-10601152001,Slavkov,48.7642081,14.2431344,777.0,1980-01-07 06:00:00+00:00,2025-12-29 06:00:00+00:00,2092,14529,16621
0-203-0-10601159002,Polná na Šumavě,48.8008,14.1539,770.0,1997-03-03 06:00:00+00:00,2005-11-28 06:00:00+00:00,386,2808,3194
0-203-0-10601176001,Chvalšiny,48.854722,14.208611,592.0,1975-03-03 06:00:00+00:00,2025-12-29 06:00:00+00:00,2207,15019,17226
0-203-0-10601188001,Přídolí,48.7814842,14.3564461,653.0,1973-01-01 06:00:00+00:00,2025-12-29 06:00:00+00:00,2193,15423,17616
0-203-0-10601195001,Ktiš  Tisovka,48.9035069,14.1059625,758.0,1994-10-03 06:00:00+00:00,2025-12-29 06:00:00+00:00,1421,9994,11415
0-203-0-10601195002,Markov,48.9031,14.0622,951.0,2005-01-24 06:00:00+00:00,2011-12-19 06:00:00+00:00,339,2217,2556
0-203-0-10601197001,Brloh,48.9269169,14.2187506,559.0,1962-12-07 06:00:00+00:00,2025-12-29 06:00:00+00:00,2040,14731,16771
0-203-0-10601205001,Křemže  Mříč,48.9075594,14.3305394,524.0,1954-01-01 06:00:00+00:00,2025-12-22 06:00:00+00:00,1807,14811,16618
0-203-0-10601214001,Boršov nad Vltavou,48.926667,14.439722,404.0,2017-07-03 06:00:00+00:00,2021-08-30 06:00:00+00:00,205,1318,1523
0-203-0-10601216001,Šindlovy Dvory  Litvínovice,48.964832,14.426389,416.0,2021-09-06 06:00:00+00:00,2023-04-24 06:00:00+00:00,80,527,607
0-203-0-10602007001,Dolní Dvořiště,48.6583611,14.4604581,606.0,1987-04-06 06:00:00+00:00,2024-02-26 06:00:00+00:00,1541,10908,12449
0-203-0-10602014001,Malonty,48.6854828,14.5802869,694.0,1963-01-04 06:00:00+00:00,2025-12-22 06:00:00+00:00,2516,16879,19395
0-203-0-10602021001,Kaplice,48.7442,14.4936,536.0,1976-12-06 06:00:00+00:00,1998-06-29 06:00:00+00:00,769,5587,6356
0-203-0-10602027001,Staré Hutě  Hojná Voda,48.72333333,14.723333,821.0,1994-02-07 06:00:00+00:00,2023-09-25 06:00:00+00:00,1361,9476,10837
0-203-0-10602028001,Benešov nad Černou,48.7311,14.6283,665.0,1982-01-04 06:00:00+00:00,2025-12-29 06:00:00+00:00,2045,13903,15948
0-203-0-10602029002,Pohorská Ves,48.6701047,14.6489614,773.0,1980-01-07 06:00:00+00:00,2025-12-29 06:00:00+00:00,2073,14181,16254
0-203-0-10602032201,Soběnov,48.7476228,14.5355644,526.0,1942-01-02 06:00:00+00:00,2025-12-29 06:00:00+00:00,3264,24731,27995
