station_id,n_obs,bias_mm,rmse_mm,correlation,mean_observed_mm,mean_modelled_mm,station_name,latitude,longitude,elevation_m
0-203-0-10501025001,3152,-3.342000411387666,14.918873779727496,0.9083466368279668,11.395717005076099,8.053716593688485,Jilemnice,50.6014,15.5125,462
0-203-0-10501030001,2906,-3.7728337807370536,17.055651439816014,0.9101093019382068,13.311906400550654,9.53907261981351,Roprachtice,50.651199,15.414138,550
0-203-0-10501035001,2179,3.6416121857487456,13.054195103779609,0.889545687295817,7.532033042680122,11.17364522842887,Studenec,50.55272,15.550286,532
0-203-0-10501036001,3116,-3.089829306525774,12.984902067804281,0.8822487750084583,7.230423620025645,4.140594313499879,Nová Paka,50.49,15.5136,450
0-203-0-10501038001,1666,0.6286864564041483,8.707436622363845,0.90553972103392,6.763025210084036,7.391711666488181,Lomnice nad Popelkou,50.538491,15.379375,485
0-203-0-10501045001,895,1.3089510146635714,7.073523208911411,0.9233751964506256,3.4458100558659264,4.754761070529496,Libštát,50.5667,15.4333,430
0-203-0-10501059001,295,-87.97522707546543,113.8749021015875,0.8633109817236244,136.95932203389825,48.98409495843289,Bedřichov  Nová louka,50.81445,15.158215,780
0-203-0-10501060001,2161,-15.508878673963139,44.77426308496747,0.8504335381537665,37.066265617769574,21.557386943806197,Josefův Důl,50.778158,15.22868,623
0-203-0-10501063001,3138,-14.67003083683276,39.81145871124842,0.8891978136606788,25.08212237093685,10.412091534104155,Smržovka,50.7294,15.2511,550
0-203-0-10501078001,1102,-13.019298535278134,35.19913163725813,0.8907294587089968,25.88030852994552,12.861009994667457,Vysoké nad Jizerou,50.682981,15.408523,695
0-203-0-10502005001,3427,3.7185077315384394,13.508065959336864,0.8016490347833308,3.6365334111468033,7.355041142685195,Železný Brod,50.6408,15.2517,290
0-203-0-10502036001,793,-4.153233576172249,14.250222073578458,0.891650280165356,9.475409836065573,5.322176259893313,Hodkovice nad Mohelkou,50.6667,15.0833,388
0-203-0-10502046001,2487,-2.965962463648694,9.995502995265888,0.8303925618428972,5.278447929232001,2.312485465583308,Všelibice  Vrtky,50.6194,14.9511,410
0-203-0-10502047001,486,-0.4105117717489708,3.3971350427713367,0.9011457917363318,1.685185185185182,1.2746734134362128,Všelibice,50.648954,14.950609,392
0-203-0-10502049001,2186,-0.5169329121624594,4.338965744443723,0.8765035027408344,2.137191216834408,1.620258304671948,Jivina,50.5539,14.9492,308
0-203-0-10502050001,3185,-0.8344084311772187,5.247815867871025,0.8653553334395789,2.778492935635811,1.9440845044585793,Boseň  Mužský,50.5222,15.0404,382
0-203-0-10502072001,3195,-0.2600385380470758,2.974682799442801,0.8955594676106943,1.7143348982785442,1.4542963602314796,Bakov nad Jizerou,50.4804,14.9391,220
0-203-0-10502085001,2249,0.548365655103258,3.582585902931602,0.8178291950758296,0.8980880391285008,1.4464536942317594,Dolní Bousov,50.437897,15.141737,244
0-203-0-10502101001,3173,0.33196965543838164,2.7829706098430833,0.8270631849042592,0.7661203907973553,1.0980900462357381,Mladá Boleslav,50.42267,14.91405,221
0-203-0-10503002001,2562,-0.031246566195552515,3.194135587875198,0.8410957978272882,0.8985948477751889,0.8673482815796237,Katusice,50.444653,14.779398,312
0-203-0-10503012001,360,-0.07578526036388891,0.8275757190985076,0.9673143373062054,0.3652777777777782,0.2894925174138881,Chotětov,50.337419,14.810102,260
0-203-0-10503013001,3106,0.1927354658744791,2.199957028904092,0.9106677044999274,0.9545717965228524,1.147307262397327,Brodce,50.3347,14.8661,220
0-203-0-10503015001,1422,0.00980868158600339,2.679892607214038,0.8510454458102632,1.3637130801687771,1.3735217617547824,Sojovice,50.2167,14.75,182
0-203-0-10504022002,469,-0.0590758932643924,0.8259162113046473,0.9136129873005797,0.3918976545842217,0.3328217613198299,Veleň  Mírovice,50.165,14.5464,224
0-203-0-10504033001,3079,-0.14686973286093244,1.6250165912391328,0.9254473939097869,0.5494965898018782,0.4026268569409517,Bašť  Baštěk,50.205,14.4622,230
0-203-0-10504037001,2980,-0.26191097798303,3.253323368736511,0.9155896112112268,1.9103355704698015,1.6484245924867629,Mšeno,50.44061,14.63399,340
0-203-0-10504042001,2660,0.03314666809809583,2.228396411211547,0.8664228753101316,0.8159774436090345,0.8491241117071127,Bezno,50.3744,14.7894,280
0-203-0-10504048001,3001,0.07493780599053584,2.1517153036154575,0.8805547362221229,0.7964011996001269,0.8713390055906648,Kropáčova Vrutice  Střížovice,50.3255,14.7046,210
0-203-0-10601002002,2237,0.46663064732085097,35.644589139081006,0.9120087195383872,44.576620473849054,45.043251121169845,Kvilda,49.0192,13.5792,1059
0-203-0-10601011001,2647,16.762393596504,42.53953184573537,0.8573584698694834,22.438685304117886,39.201078900621646,Borová Lada,48.99055,13.661958,898
