station_id,n_active_seasons,coverage,first_active,last_active,max_gap_seasons,median_obs,min_obs,max_obs,cv_obs,n_seasons_any_obs,ok_coverage,ok_gap,ok_starts_early,ok_ends_late,ok_density,ok_stability,selected,fail_reasons,period,n_seasons_in_period,station_name,latitude,longitude,elevation_m
0-203-0-10703011001,48,0.9795918367346939,1976.0,2024.0,1,23.0,19.0,26.0,0.07697753197984936,49,True,True,True,True,True,True,True,,1976-2025,49,Kamenice nad Lipou  Vodná,49.2831,15.0633,557.0
0-203-0-10703017001,48,0.9795918367346939,1976.0,2024.0,1,22.0,11.0,26.0,0.13792631597723928,49,True,True,True,True,True,True,True,,1976-2025,49,Nová Včelnice,49.2229981,15.0685064,509.0
0-203-0-10703027001,48,0.9795918367346939,1976.0,2024.0,1,23.0,19.0,26.0,0.08870532754677876,49,True,True,True,True,True,True,True,,1976-2025,49,Lodhéřov,49.2131911,14.9622222,526.0
0-203-0-10704050001,48,0.9795918367346939,1976.0,2024.0,1,22.0,14.0,26.0,0.13461724180498255,49,True,True,True,True,True,True,True,,1976-2025,49,Planá nad Lužnicí,49.3533,14.6969,404.0
0-203-0-10704094001,48,0.9795918367346939,1976.0,2024.0,1,22.0,18.0,26.0,0.08874303580963766,49,True,True,True,True,True,True,True,,1976-2025,49,Jistebnice,49.484444,14.529167,580.0
0-203-0-10801119001,48,0.9795918367346939,1976.0,2024.0,1,22.0,15.0,26.0,0.1247305442677923,49,True,True,True,True,True,True,True,,1976-2025,49,Horažďovická Lhota  Smrkovec,49.3398103,13.5981892,483.0
0-203-0-10802017001,48,0.9795918367346939,1976.0,2024.0,1,21.0,10.0,26.0,0.15884002597495914,49,True,True,True,True,True,True,True,,1976-2025,49,Vacov  Peckov,49.1352075,13.7263994,738.0
0-203-0-10802073001,48,0.9795918367346939,1976.0,2024.0,1,22.0,16.0,26.0,0.09512996963878614,49,True,True,True,True,True,True,True,,1976-2025,49,Sedlice,49.3756828,13.9416925,511.0
0-203-0-10804016002,48,0.9795918367346939,1976.0,2024.0,1,22.0,19.0,26.0,0.0849215274398338,49,True,True,True,True,True,True,True,,1976-2025,49,Závišín,49.487222,13.923056,501.0
0-203-0-10805038001,48,0.9795918367346939,1976.0,2024.0,1,22.0,11.0,25.0,0.15552315827194782,49,True,True,True,True,True,True,True,,1976-2025,49,Nečín  Bělohrad,49.7067,14.2017,465.0
0-203-0-10805047001,48,0.9795918367346939,1976.0,2024.0,1,23.0,16.0,26.0,0.08490885001994784,49,True,True,True,True,True,True,True,,1976-2025,49,Střezimíř,49.5381,14.6181,588.0
0-203-0-10901114001,48,0.9795918367346939,1976.0,2024.0,1,24.0,16.0,26.0,0.08819776660317093,49,True,True,True,True,True,True,True,,1976-2025,49,Humpolec,49.54701,15.352715,515.0
0-203-0-10902055001,48,0.9795918367346939,1976.0,2024.0,1,24.0,13.0,26.0,0.10403288452396794,49,True,True,True,True,True,True,True,,1976-2025,49,Pacov,49.46355,15.02348,494.0
0-203-0-10903058001,48,0.9795918367346939,1976.0,2024.0,1,22.0,12.0,26.0,0.1595957352429571,49,True,True,True,True,True,True,True,,1976-2025,49,Veliš,49.6664,14.8233,451.0
0-203-0-10903081001,48,0.9795918367346939,1976.0,2024.0,1,23.5,12.0,26.0,0.13261519244143505,49,True,True,True,True,True,True,True,,1976-2025,49,Postupice,49.7306,14.7833,421.0
0-203-0-10903144001,48,0.9795918367346939,1976.0,2024.0,1,22.5,12.0,26.0,0.11607819404276419,49,True,True,True,True,True,True,True,,1976-2025,49,Votice,49.6433,14.6333,450.0
0-203-0-10903164001,48,0.9795918367346939,1976.0,2024.0,1,23.0,12.0,26.0,0.11061672373060064,49,True,True,True,True,True,True,True,,1976-2025,49,Maršovice  Zahrádka,49.7325,14.5886,358.0
0-203-0-10904008001,48,0.9795918367346939,1976.0,2024.0,1,23.0,10.0,26.0,0.12211202755135198,49,True,True,True,True,True,True,True,,1976-2025,49,Mníšek pod Brdy,49.8694,14.2625,367.0
0-203-0-11001044001,48,0.9795918367346939,1976.0,2024.0,1,23.0,13.0,26.0,0.11500772393598838,49,True,True,True,True,True,True,True,,1976-2025,49,Planá,49.870952,12.735097,505.0
0-203-0-11001107001,48,0.9795918367346939,1976.0,2024.0,1,23.0,10.0,26.0,0.1423704466240155,49,True,True,True,True,True,True,True,,1976-2025,49,Staré Sedlo  Darmyšl,49.639765,12.878357,448.0
0-203-0-11001177001,48,0.9795918367346939,1976.0,2024.0,1,23.0,14.0,26.0,0.1089715990924916,49,True,True,True,True,True,True,True,,1976-2025,49,Úlice,49.759189,13.143405,428.0
0-203-0-11001186001,48,0.9795918367346939,1976.0,2024.0,1,23.0,15.0,26.0,0.12150459649019951,49,True,True,True,True,True,True,True,,1976-2025,49,Plzeň  Radčice,49.765499,13.323199,320.0
0-203-0-11003009001,48,0.9795918367346939,1976.0,2024.0,1,22.5,13.0,26.0,0.14793622996612402,49,True,True,True,True,True,True,True,,1976-2025,49,Nýrsko,49.290206,13.135924,457.0
0-203-0-11003028001,48,0.9795918367346939,1976.0,2024.0,1,22.0,13.0,26.0,0.13978366890222593,49,True,True,True,True,True,True,True,,1976-2025,49,Strážov,49.30562,13.246905,477.0
0-203-0-11003072001,48,0.9795918367346939,1976.0,2024.0,1,23.0,11.0,26.0,0.15044065957411518,49,True,True,True,True,True,True,True,,1976-2025,49,Lužany,49.54908,13.317522,358.0
0-203-0-11003082001,48,0.9795918367346939,1976.0,2024.0,1,23.0,14.0,26.0,0.11830324440809367,49,True,True,True,True,True,True,True,,1976-2025,49,Netunice,49.61559,13.432035,464.0
0-203-0-11005023001,48,0.9795918367346939,1976.0,2024.0,1,21.5,10.0,26.0,0.17552872435130712,49,True,True,True,True,True,True,True,,1976-2025,49,Životice,49.470036,13.681495,484.0
0-203-0-11005040001,48,0.9795918367346939,1976.0,2024.0,1,23.0,13.0,26.0,0.12167656083299913,49,True,True,True,True,True,True,True,,1976-2025,49,Seč,49.587397,13.506002,398.0
0-203-0-11005050001,48,0.9795918367346939,1976.0,2024.0,1,23.0,11.0,26.0,0.13067580948782082,49,True,True,True,True,True,True,True,,1976-2025,49,Spálené Poříčí,49.615175,13.604538,420.0
0-203-0-11101013001,48,0.9795918367346939,1976.0,2024.0,1,22.0,13.0,26.0,0.15930257064663517,49,True,True,True,True,True,True,True,,1976-2025,49,Strašice,49.742781,13.753217,526.0
0-203-0-11101025001,48,0.9795918367346939,1976.0,2024.0,1,22.0,14.0,26.0,0.11924496572525065,49,True,True,True,True,True,True,True,,1976-2025,49,Holoubkov  Medový Újezd,49.77498,13.71137,433.0
0-203-0-11101047001,48,0.9795918367346939,1976.0,2024.0,1,22.0,14.0,26.0,0.13117433272799817,49,True,True,True,True,True,True,True,,1976-2025,49,Úněšov  Číhaná,49.894104,13.128163,573.0
0-203-0-11101060001,48,0.9795918367346939,1976.0,2024.0,1,24.0,16.0,26.0,0.10691181200451738,49,True,True,True,True,True,True,True,,1976-2025,49,Hromnice,49.848142,13.445309,336.0
0-203-0-11102044001,48,0.9795918367346939,1976.0,2024.0,1,23.0,12.0,26.0,0.1379790499069974,49,True,True,True,True,True,True,True,,1976-2025,49,Manětín,49.992466,13.22757,436.0
0-203-0-11102069001,48,0.9795918367346939,1976.0,2024.0,1,23.0,12.0,26.0,0.12585793731694053,49,True,True,True,True,True,True,True,,1976-2025,49,Plasy,49.933074,13.382176,330.0
0-203-0-11102088001,48,0.9795918367346939,1976.0,2024.0,1,23.0,15.0,26.0,0.11598066755322176,49,True,True,True,True,True,True,True,,1976-2025,49,Liblín,49.916487,13.5451,299.0
0-203-0-11102119001,48,0.9795918367346939,1976.0,2024.0,1,23.0,13.0,26.0,0.12698507671877796,49,True,True,True,True,True,True,True,,1976-2025,49,Slabce  Modřejovice,49.992453,13.690636,389.0
0-203-0-11102153001,48,0.9795918367346939,1976.0,2024.0,1,22.0,10.0,26.0,0.17553934495754295,49,True,True,True,True,True,True,True,,1976-2025,49,Karlova Ves,49.990212,13.861277,405.0
0-203-0-111040030,48,0.9795918367346939,1976.0,2024.0,1,22.0,11.0,26.0,0.12935827469237032,49,True,True,True,True,True,True,True,,1976-2025,49,Podlesí,49.6897,13.9806,510.0
0-203-0-11202007001,48,0.9795918367346939,1976.0,2024.0,1,23.0,12.0,26.0,0.11956359365104555,49,True,True,True,True,True,True,True,,1976-2025,49,Praha  Suchdol,50.1436,14.3906,268.0
